Surname,FirstName,Gender,NID,Town_Village_City,Age,Comorbidities
Carvalho,Darrel,male,C347638474302,Rose Belle,67,HIV
Costa Gomes,Gerald,male,C347638474303,Rose Belle,55,none
Abraham,Christine,female,A347638474304,Rose Belle,37,hypertension
Albuquerque,Stephane,male,A347638474305,Curepipe,27,diabetes
Sharma,Chrystelle,female,S347638474306,Curepipe,41,none
Albuquerque,Stan,male,A347638474307,Curepipe,24,none
Alberto,Ivans,male,A347638474308,Phoenix,80,none
Alberto,Jenna,female,A347638474309,Curepipe,40,none
Abraham,Virginie,female,A347638474310,Phoenix,49,diabetes
Sharma,Michele,female,S347638474311,Curepipe,53,hypertension
Ando,Georges Gurty,male,A347638474312,Curepipe,80,none
Sharma,Rachelle,female,S347638474313,Curepipe,72,hypertension
Almeida,Olivier,male,A347638474314,Curepipe,74,HIV; diabetes
Almeida,Jane,female,A347638474315,Rose Belle,38,diabetes
Carvalho,Aurelie Rachel,female,C347638474316,Rose Belle,18,cirrosis
Carvalho,Jocelyn,male,C347638474317,Rose Belle,56,diabetes
Costa Gomes,Armance,male,C347638474318,Phoenix,24,diabetes
Abraham,Stephanie,female,A347638474319,Rose Belle,68,none
Albuquerque,Edgar,male,A347638474320,Rose Belle,61,cirrosis; hypertension
Sharma,Norlette,female,S347638474321,Rose Belle,48,none
Albuquerque,Giovanni,male,A347638474322,Rose Belle,80,diabetes
Alberto,Dany,female,A347638474323,Rose Belle,36,none
Alberto,Jacqueline,female,A347638474324,Port Louis,68,hypertension
Engomada,Marie,female,E347638474325,Rose Belle,46,none
Engomadinha,Emmanuel,male,E347638474326,Rose Belle,64,cirrosis
Abracos,Jean Eddy,male,A347638474327,Rose Belle,76,cirrosis
Losch,Joana,female,L347638474328,Rose Belle,52,none
Losiko,Amel,female,L347638474329,Rose Belle,32,cirrosis
Sharma,Jennifer,female,S347638474330,Rose Belle,33,HIV
Tiwari,John,male,T347638474331,Phoenix,71,diabetes
Abracos,Elorie,female,A347638474332,Phoenix,52,HIV; hypertension; hypertension
Abracos,Gwendaline,female,A347638474333,Phoenix,30,none
Albuquerque,Anabelle,female,A347638474334,Phoenix,53,hypertension; HIV
Sharma,Olivier,male,S347638474335,Rose Belle,62,none
Albuquerque,Jean-marc,male,A347638474336,Rose Belle,34,none
Alberto,Marie Noelle,male,A347638474337,Rose Belle,37,cirrosis
Alberto,Judex,male,A347638474338,Rose Belle,45,none
Engomada,Francois,male,E347638474339,Rose Belle,74,none
Engomadinha,Fabien,male,E347638474340,Rose Belle,71,none
Abracos,Ti la Vie,male,A347638474341,Rose Belle,80,hypertension
Losch,Julia,female,L347638474342,Rose Belle,79,diabetes
Losik,Ruben,male,L347638474343,Rose Belle,37,none
Sharma,Tiago,male,S347638474344,Rose Belle,76,none
Tiwari,Daniel,male,T347638474345,Rose Belle,23,none
Abracos,Ricardo,male,A347638474346,Rose Belle,51,none
Abracos,Micael,male,A347638474347,Rose Belle,29,hypertension; diabetes
Jean Claude,Cristiana,female,J347638474348,Port Louis,80,hypertension
Jean Claude,Ryben,male,J347638474349,Port Louis,69,none
Tiwari,Fabien,male,T347638474350,Port Louis,63,none
Abraham,Ruben,male,A347638474351,Port Louis,36,none
Sharma,Mateus,male,S347638474352,Rose Belle,36,none
